nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
"MI MIE LIDI YOI DAUN JERUK , SEBLAK , PEDAS LV5 ORIGINAL,CEMILAN HITS",5500,WA SPAREPART,Bekasi,28,5.0,Jabodetabek
Bumbu Seblak Cikur Bawang Putih Untuk Seblak (Plain),400,Berkah Food Bandung,Cimahi,750,4.9,Luar Jabodetabek
seblak instant khas bandung,62000,Seblak Alipbata,Tangerang,100,4.8,Jabodetabek
Seblak Instan BABA Semua Variant (3pcs),50000,Basrengbaba,Kab. Bandung,19,4.8,Luar Jabodetabek
Cuanki Tahu Keriting Panjang Topping Baso Aci / Seblak Khas Garut,14999,Pedas Gilaa,Surabaya,100,5.0,Luar Jabodetabek
Seblak Mercon Khas Tasik 150gr Pedas Jelotot,11000,Al Dien Store 313,Tangerang,50,4.8,Jabodetabek
KERUPUK TANGGA / TARAJE 1KG TOPPING SEBLAK,22000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,11,5.0,Jabodetabek
seblak instan purwakarta,4500,cemilan instan purwakarta,Kab. Purwakarta,750,4.9,Luar Jabodetabek
Kerupuk Seblak Kering Pedas Aroma Daun Jeruk Murah Enak Terlaris 250 g,15999,Kunyahhfood,Kab. Bogor,16,5.0,Jabodetabek
Krupuk Seblak Coin 1 bal,55000,Hosana Snack,Bogor,27,5.0,Jabodetabek
Snack Seblak jeletot 150 gr,14000,Asinan Maputri,Tangerang,12,4.9,Jabodetabek
Mamafuji - Seblak Instan viral (DUTA SEBLAK APPROVED),23999,Mama Fuji Official,Tangerang,20,4.8,Jabodetabek
Kerupuk seblak pedas,15900,Tukangsayurmbakyu,Tangerang Selatan,60,4.6,Jabodetabek
KRUPUK JABLAY PEDAS 220GR/KRUPUK SEBLAK/CEMILAN SNACK/SNACK KILOAN.,11000,Agen Snack Murah,Jakarta Barat,30,4.9,Jabodetabek
"PAKET JUNI ASIK SEBLAK BESTSELLER(Seblak Original,Seblak Tulang Rawan)",34500,kylafood,Bandung,80,4.8,Luar Jabodetabek
Seblak Keju,15000,Maicih_Official,Bandung,250,4.9,Luar Jabodetabek
[PROMO!!] BASRANGER Seblak Instant EXTRA PEDAS 200gr - seblak nikmat,15999,JM Snacks,Bandung,100,4.9,Luar Jabodetabek
Paket seblak bakso untuk 3 porsi,29000,Tukangsayurmbakyu,Tangerang Selatan,30,5.0,Jabodetabek
Kerupuk Seblak Kering Pedas Bumbu Kencur 100 gram,6750,Zahira Official 01,Kab. Kebumen,30,5.0,Luar Jabodetabek
"Bumbu asin gurih extra rempah 1 kg. Untuk kuah baso aci,seblak dll",47999,aghniya,Tangerang Selatan,500,4.8,Jabodetabek
kerupuk seblak kencur pedas,25000,bangkit jaya snack,Bekasi,70,4.9,Jabodetabek
seblak crispy,13000,HaRoZaDaZaSa store,Depok,40,4.4,Jabodetabek
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,11000,Distributor-Jaya,Tangerang,100,4.9,Jabodetabek
Seblak Geprek,19000,kappa center,Tangerang,20,5.0,Jabodetabek
Nyemil Saji - Seblak Instan Siap Saji,16365,Nyemil Saji Jepara,Kab. Sleman,23,4.9,Luar Jabodetabek
SEBLOK / SEBLAK CILOK RANGU NYAKREK,6800,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,250,4.8,Jabodetabek
Kerupuk seblak 100 gram Pedas gurih,8000,RIKI STORE 97,Kab. Bogor,6,5.0,Jabodetabek
Kerupuk Keong Warna Warni 250gr Krupuk Seblak Mentah,6000,Celikafood,Bandung,40,5.0,Luar Jabodetabek
Kerupuk Seblak Bantet 100 gram-Tantaz Snack,7500,tantaz_Snack,Tangerang Selatan,60,5.0,Jabodetabek
KERUPUK SEBLAK VIRAL RAFAEL ,5500,D'gegaresan,Jakarta Utara,100,4.3,Jabodetabek
seblak kering / seblak kerupuk krupuk putih bawang pedas / murah enak,7000,Jagoicip,Jakarta Pusat,7,5.0,Jabodetabek
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,28500,Pasar Keripik Bandung,Bandung,14,5.0,Luar Jabodetabek
kerupuk mentah seblak,65000,DINAYASHOP,Jakarta Barat,20,4.0,Jabodetabek
Kerupuk Sari  Udang Mentah 250gr/Kerupuk Seblak,6500,Sin Nana,Semarang,6,5.0,Luar Jabodetabek
Kerupuk bawang prima / Kerupuk warna warni / Kerupuk seblak - 500 Gram,12000,Roda Minang,Jakarta Barat,30,4.9,Jabodetabek
Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 gram,4000,DelimaFCB,Surabaya,16,5.0,Luar Jabodetabek
kerupuk seblak pedas 1/2 kg / kerupuk seblak ½,20482,Adila_Putri_Snack,Kab.Ciamis,100,4.8,Luar Jabodetabek
siomay mini kering 250 gram toping seblak baso aci,8000,CUANKI CULAMETAN,Kab. Garut,100,4.8,Luar Jabodetabek
BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,1500,yohangunawan94,Bandung,100,5.0,Luar Jabodetabek
Baso Aci GEPREK Seblak GEPREK boci instant samiraos boci geprek tulang,15300,Pusat Baso Aci,Surabaya,40,4.8,Luar Jabodetabek
kerupuk oren/kerupuk seblak oren/kerupuk ikan tenggiri oren 500 gr,8900,kurniamakmur75,Depok,15,5.0,Jabodetabek
cuanki lidah 150 pcs toping seblak baso aci,35000,CUANKI CULAMETAN,Kab. Garut,250,5.0,Luar Jabodetabek
kerupuk seblak bantet/sebring setengah kg,24500,arsensnack,Kab. Bekasi,14,4.9,Jabodetabek
KERUPUK SEBLAK KERITING CABE MERAH SUPER PEDES 250 GRAM,18000,Madinah Oleh Oleh Bdg,Bandung,100,4.9,Luar Jabodetabek
Batagor Kering Panjang 1 Pack Cocok buat Seblak SAYUR ONLINE BANDUNG,16000,Sayur Gedebage Praktis Online Bandung,Bandung,4,5.0,Luar Jabodetabek
KERUPUK SEBLAK KENCUR PEDAS 1KG/SNACK KILOAN,41000,ajs(ale jaya snack),Jakarta Utara,2,5.0,Jabodetabek
Seblak Instant Mommy,12200,Jacqkids,Bandung,500,4.8,Luar Jabodetabek
Paket seblak sosis untuk 3 porsi,29000,Tukangsayurmbakyu,Tangerang Selatan,8,5.0,Jabodetabek
SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,17850,TOBELO SHOP,Tangerang,100,4.8,Jabodetabek
PANGSIT SEBLAK BUMBU BASAH,8500,RIKI STORE 97,Kab. Bogor,9,5.0,Jabodetabek
Kerupuk Seblak Kering Mawar (Rafael) Pedas Daun Jeruk 1 Kg,49000,SekawanRasa,Surabaya,1,5.0,Luar Jabodetabek
seblak basah instant ekonomis,5000,Kickball Official,Bandung,100,4.6,Luar Jabodetabek
Seblak Stik 250gram,10000,Hosana Snack,Bogor,250,4.9,Jabodetabek
kerupuk seblak bantet kering 1kg (matang),46000,arsensnack,Kab. Bekasi,6,5.0,Jabodetabek
kerupuk seblak pedas daun jeruk,9900,afif jaya cemilan,Surabaya,100,4.6,Luar Jabodetabek
kerupuk seblak rafael 500gram,13800,arzy sembako,Kab. Bogor,40,5.0,Jabodetabek
Boboko Kerupuk Seblak Kering Pedas Daun Jeruk Level 7 / 8 /9 / 13,18000,Dewi_Sartika,Jakarta Barat,9,5.0,Jabodetabek
Kerupuk Kriwil Seblak Cikur (net 200g),9000,Van Kios,Bandung,14,5.0,Luar Jabodetabek
seblak pedas kerupuk,82000,ViSha_Olshop,Bekasi,60,4.9,Jabodetabek
Kerupuk Seblak/Ikan/Sari Udang/Merah - MENTAH,25000,sembakocitra,Tangerang,22,5.0,Jabodetabek
Seblak basreng pedas original daun jeruk stik 100gr,5000,Seblak putra bandung,Kab. Bandung,4000,4.8,Luar Jabodetabek
Kerupuk Seblak Kering Bumbu Pedas CIkruh Daun Jeruk Box | Snack Teman,17500,Snack Teman,Bandung,30,4.9,Luar Jabodetabek
KRUPUK SEBLAK KENCUR 500 gram,28000,Vavivo Tart & Cake,Kab. Bogor,9,5.0,Jabodetabek
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg BAWANG,18000,SuperSnacksShop,Kab. Bandung,70,4.9,Luar Jabodetabek
Cabe bubuk special baso aci & seblak,11999,aghniya,Tangerang Selatan,250,4.9,Jabodetabek
SEBLAK INSTAN,5000,Griyo Seni,Kab. Sidoarjo,90,4.6,Luar Jabodetabek
Kerupuk Ikan Merah Mentah / Kerupuk Seblak 250gr,9500,Hello Cell & Distro,Bandung,7,5.0,Luar Jabodetabek
kerupuk seblak pedas 1 kg TERMURAH,38000,RIKI STORE 97,Kab. Bogor,3,5.0,Jabodetabek
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 200gr MAWAR WARNA,5000,SuperSnacksShop,Kab. Bandung,100,4.9,Luar Jabodetabek
Seblak Mommy Instan Rasa Original Kemasan Cup,11550,Beuki Mart,Bandung,14,5.0,Luar Jabodetabek
Krupuk Stik Seblak /pedas 1kg,36000,Hosana Snack,Bogor,40,4.9,Jabodetabek
Seblak Mooza,22000,oifyoo_jakut,Jakarta Utara,12,4.7,Jabodetabek
siomay kering mini untuk baso aci & seblak bandung,14999,aghniya,Tangerang Selatan,250,4.9,Jabodetabek
baso aci / seblak instan,6000,Nyum_mama,Pekanbaru,30,4.5,Luar Jabodetabek
SEBLAK VIRAL - SEBLAK INSTANT - SEBLAK RAFAEL - SEBLAK MAMANG RAFAEL,8880,FARADHIFY STORE,Bekasi,100,4.6,Jabodetabek
Kerupuk seblak jengkol extra pedas 1kg krupuk jengkol pedas murah,15000,zhafran_id,Kab.Ciamis,30,4.3,Luar Jabodetabek
CUANKIE TAHU STICK / TAHU KERITING ISI 50 TOPPING BASO ACI / SEBLAK,18000,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,19,4.5,Jabodetabek
Kerupuk Mawar Seblak Cocol (100gr)/Seblak Rafael Kerupuk Mawar Mentah,4990,Toko Ritel Indonesia,Sukabumi,100,4.9,Luar Jabodetabek
cabe rawit bubuk sachet seblak baso aci cuanki instant,350,CUANKI CULAMETAN,Kab. Garut,2000,4.8,Luar Jabodetabek
Seblak Ceker pedas daun jeruk 250 gram,13000,Markas Makaroni,Kab. Bekasi,60,4.9,Jabodetabek
ANTAKA 100gr Bumbu Tabur Aneka Rasa Bumbu Seblak Makaroni,5999,yohangunawan94,Bandung,750,5.0,Luar Jabodetabek
BARU! KERUPUK SEBLAK - TERMURAH [100gram],7500,Aflah Snack,Bekasi,100,4.7,Jabodetabek
Kerupuk Seblak Mawar Kriwil Pedas 60gr ANABA,2881,Siaga Lapak,Malang,16,5.0,Luar Jabodetabek
keripik seblak rafael pedas & asin,16500,keyz shop78,Bandung,5,5.0,Luar Jabodetabek
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000,Rasa Juara Indonesia,Kab. Bandung,1000,4.9,Luar Jabodetabek
seblak kering bumbu kacang(100gr),4999,seblak_joy,Kab. Bandung,20,5.0,Luar Jabodetabek
Kerupuk Rafael/kerupuk seblak viral/kerupuk mawar 1kg,33000,KEDAI SAYUR KU,Tangerang Selatan,30,4.9,Jabodetabek
Krupuk Seblak Kencur Seblak Jablay 250gr,12500,Mokosnacksby,Surabaya,250,4.9,Luar Jabodetabek
Seblak kerupuk bintang pedas ekstra daun jeruk 100 gram,5000,Seblak putra bandung,Kab. Bandung,60,4.9,Luar Jabodetabek
